Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
38,T1559.002,13,SI-3|AC-6|CM-8|CM-2|RA-5|SI-2|CM-6|SC-18|CM-7|SC-7|CM-10|SI-4|AC-4
39,T1203,11,SI-3|AC-6|SC-39|CM-8|SC-2|SI-7|SC-18|SC-7|CA-7|SI-4|AC-4
40,T1098,11,AC-6|AC-5|AC-2|CM-6|CM-5|CM-7|SC-7|IA-2|AC-3|SI-4|AC-4
40,T1098.001,14,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|CM-7|SC-7|IA-2|AC-3|IA-5|SI-4|AC-4
40,T1098.002,11,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|IA-2|AC-3|IA-5|SI-4
40,T1098.003,11,AC-6|AC-20|AC-5|AC-2|CM-6|SI-7|CM-5|IA-2|AC-3|IA-5|SI-4
40,T1098.004,9,SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|CM-7|AC-3|SC-12
41,T1546,3,CM-2|CM-6|SI-7
41,T1546.002,9,SI-3|CM-8|CM-2|RA-5|CM-6|SI-7|CM-7|SI-10|SI-4
41,T1546.003,11,SI-3|AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|CA-7|IA-2|AC-3|SI-4
41,T1546.004,8,SI-3|AC-6|CM-2|CM-6|SI-7|CA-7|AC-3|SI-4
41,T1546.006,12,SI-3|CM-8|CM-2|SR-11|SI-2|CM-6|SR-5|SI-7|SR-6|CM-7|SI-10|SI-4
41,T1546.008,6,CM-6|SI-7|CM-7|CM-10|SI-10|SI-4
41,T1546.009,3,CM-7|SI-10|SI-7
41,T1546.010,5,CM-2|SI-2|SI-7|CM-7|SI-10
41,T1546.011,2,AC-6|SI-2
41,T1546.013,9,SI-3|AC-6|CM-2|CM-6|SI-7|CA-7|CM-10|AC-3|SI-4
41,T1546.014,6,SI-3|CM-8|CM-2|RA-5|CM-6|SI-4
42,T1555,3,IA-5|CA-7|SI-4
42,T1555.001,3,IA-5|CA-7|SI-4
42,T1555.002,3,IA-5|CA-7|SI-4
42,T1555.004,5,CM-2|CM-6|CM-7|IA-5|SI-4
42,T1555.005,6,CM-2|SI-2|CM-6|IA-2|IA-5|SI-4
43,T1530,30,IA-4|AC-2|CM-6|SI-7|SC-28|IA-6|AC-3|SI-4|AC-6|CM-8|CM-2|SC-7|IA-2|AC-17|AC-4|AC-20|SI-12|AC-5|AC-7|IA-3|CM-5|CM-7|SI-10|SC-4|AC-19|RA-5|AC-18|CA-7|IA-5|IA-8
44,T1048,17,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
44,T1048.001,10,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
44,T1048.002,17,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
44,T1048.003,18,SI-3|AC-6|AC-20|CA-3|CM-2|SA-8|SC-13|AC-2|CM-6|SI-4|SC-28|CM-7|SC-7|CA-7|AC-3|SA-9|SI-10|AC-4
45,T1102,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.001,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.002,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
45,T1102.003,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
46,T1133,16,AC-6|AC-20|CM-2|CM-8|RA-5|AC-7|CM-6|SI-7|CM-7|SC-7|IA-2|AC-3|IA-5|AC-17|SI-4|AC-4
47,T1558,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.001,9,AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|IA-2|AC-3|IA-5
47,T1558.002,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.003,18,SI-3|AC-6|SI-12|AC-19|CM-2|AC-5|AC-2|CM-6|AC-18|SI-4|SI-7|CM-5|CA-7|IA-2|AC-3|IA-5|AC-17|SC-4
47,T1558.004,18,SI-3|SI-12|AC-19|CM-2|RA-5|AC-2|CM-6|AC-18|SA-15|SI-4|SI-7|CA-7|IA-2|AC-3|IA-5|AC-17|SA-11|SC-4
